Number,Country,Population,Area
160,Djibouti,"1,136,455","23,180"
161,Réunion,"981,796","2,500"
162,Fiji,"936,375","18,270"
163,Comoros,"852,075","1,861"
164,Guyana,"813,834","196,850"
165,Bhutan,"787,424","38,117"
166,Solomon Islands,"740,424","27,990"
167,Macao,"704,149",30
168,Luxembourg,"654,768","2,590"
169,Montenegro,"626,485","13,450"
170,Suriname,"623,236","156,000"
171,Cabo Verde,"598,682","4,030"
172,Western Sahara,"587,259","266,000"
173,Micronesia,"544,321",700
174,Malta,"535,064",320
175,Maldives,"521,021",300
176,Brunei,"452,524","5,270"
177,Bahamas,"412,623","10,010"
178,Belize,"410,825","22,810"
179,Guadeloupe,"395,839","1,690"
180,Iceland,"375,318","100,250"
181,Martinique,"366,981","1,060"
182,Mayotte,"335,995",375
183,Vanuatu,"334,506","12,190"
184,French Guiana,"312,155","82,200"
185,French Polynesia,"308,872","3,660"
186,New Caledonia,"292,991","18,280"
187,Barbados,"281,995",430
188,Sao Tome & Principe,"231,856",960
189,Samoa,"225,681","2,830"
190,Curaçao,"192,077",444
191,Saint Lucia,"180,251",610
192,Guam,"172,952",540
193,Kiribati,"133,515",810
194,Grenada,"126,183",340
195,Tonga,"107,773",720
196,Seychelles,"107,660",460
197,Aruba,"106,277",180
198,St. Vincent & Grenadines,"103,698",390
199,U.S. Virgin Islands,"98,750",350
200,Antigua and Barbuda,"94,298",440
201,Isle of Man,"84,710",570
202,Andorra,"80,088",470
203,Dominica,"73,040",750
204,Cayman Islands,"69,310",240
205,Bermuda,"64,069",50
206,Greenland,"56,643","410,450"
207,Faeroe Islands,"53,270","1,396"
208,Northern Mariana Islands,"49,796",460
209,Saint Kitts & Nevis,"47,755",260
210,Turks and Caicos,"46,062",950
211,Sint Maarten,"44,222",34
212,American Samoa,"43,914",200
213,Marshall Islands,"41,996",180
214,Liechtenstein,"39,584",160
215,Monaco,"36,297",1
216,San Marino,"33,642",60
217,Gibraltar,"32,688",10
218,Saint Martin,"32,077",53
219,British Virgin Islands,"31,538",150
220,Caribbean Netherlands,"27,148",328
221,Palau,"18,058",460
222,Cook Islands,"17,044",240
223,Anguilla,"15,899",90
224,Nauru,"12,780",20
225,Wallis & Futuna,"11,502",140
226,Tuvalu,"11,396",30
227,Saint Barthelemy,"10,994",21
228,Saint Pierre & Miquelon,"5,840",230
229,Saint Helena,"5,314",390
230,Montserrat,"4,386",100
231,Falkland Islands,"3,791","12,170"
232,Niue,"1,935",260
233,Tokelau,"1,893",10
234,Holy See,518,0
